community,sv,count,fract
wgs__ERR2213664,sv-13148:wgs__ERR2213664,410,0.006845198343795913
wgs__ERR2213664,sv-13403:wgs__ERR2213664,385,0.006427808200881528
wgs__ERR2213664,sv-13812:wgs__ERR2213664,348,0.005810070789368238
wgs__ERR2213664,sv-14377:wgs__ERR2213664,294,0.004908508080673167
wgs__ERR2213664,sv-14407:wgs__ERR2213664,292,0.004875116869240016
wgs__ERR2213664,sv-14764:wgs__ERR2213664,262,0.004374248697742754
wgs__ERR2213664,sv-14873:wgs__ERR2213664,253,0.0042239882462935755
wgs__ERR2213664,sv-15148:wgs__ERR2213664,228,0.0038065981033791906
wgs__ERR2213664,sv-15506:wgs__ERR2213664,198,0.0033057299318819287
wgs__ERR2213664,sv-15543:wgs__ERR2213664,195,0.0032556431147322024
wgs__ERR2213664,sv-16079:wgs__ERR2213664,152,0.0025377320689194604
wgs__ERR2213664,sv-16843:wgs__ERR2213664,75,0.0012521704287431548
wgs__ERR2213664,sv-17362:wgs__ERR2213664,68,0.001135301188727127
wgs__ERR2213664,sv-17566:wgs__ERR2213664,57,0.0009516495258447977
wgs__ERR2213665,sv-135:wgs__ERR2213665,9744,0.29293809938971227
wgs__ERR2213665,sv-826:wgs__ERR2213665,2755,0.08282476024411509
wgs__ERR2213665,sv-1399:wgs__ERR2213665,1874,0.0563388750263055
wgs__ERR2213665,sv-1405:wgs__ERR2213665,1862,0.05597811382016054
wgs__ERR2213665,sv-1466:wgs__ERR2213665,1800,0.05411418092174488
wgs__ERR2213665,sv-1487:wgs__ERR2213665,1772,0.053272404774073294
wgs__ERR2213665,sv-1634:wgs__ERR2213665,1640,0.04930403150647867
wgs__ERR2213665,sv-1867:wgs__ERR2213665,1488,0.04473438956197577
wgs__ERR2213665,sv-2242:wgs__SRR6000907,467,0.014039623605808255
wgs__ERR2213665,sv-2315:wgs__ERR2213665,1246,0.037459038571385626
wgs__ERR2213665,sv-2464:wgs__ERR2213665,1186,0.035655232540660796
wgs__ERR2213665,sv-2924:wgs__ERR2213665,1037,0.031175780897694134
wgs__ERR2213665,sv-3062:wgs__ERR2213665,1003,0.030153624146950064
wgs__ERR2213665,sv-3083:wgs__ERR2213665,1000,0.030063433845413823
wgs__ERR2213665,sv-3177:wgs__ERR2213665,976,0.029341911433123893
wgs__ERR2213665,sv-3368:wgs__ERR2213665,933,0.028049183777771096
